try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,242.382,7305.65,0.001,0.0331774,96.0769,26
0,1,105.347,2312.57,0.001,0.0455539,8.07692,4
0,2,32.6981,1208.94,0.001,0.0270468,8.07692,4
0,3,15.8303,820.79,0.001,0.0192867,8.07692,4
0,4,7.76983,49929.7,0.001,0.000155616,8.07692,4
0,5,7.52732,275.84,0.001,0.0272886,8.07692,4
0,6,5.17669,766.668,0.001,0.00675218,8.07692,4
0,7,4.75235,385.049,0.001,0.0123422,8.07692,4
0,8,4.90044,50609.5,0.001,9.68282,8.07692,4
0,9,4.78115,191.625,0.001,0.0249505,8.07692,4
0,10,4.95895,874.845,0.001,0.00566837,8.07692,4
0,11,3.66456,142.868,0.001,0.0256498,4.15385,5
0,12,3.62164,609.731,0.001,0.00593972,0.230769,6
0,13,3.14409,100.946,0.001,0.0311459,0.230769,6
0,14,4.7759,393.136,0.001,0.0121482,0.230769,6
0,15,2.2551,125.656,0.001,0.0179464,0.230769,6
0,16,3.04602,364.296,0.001,0.00836137,0.230769,6
0,17,1.61906,108.505,0.001,0.0149214,0.230769,6
0,18,2.49852,304.338,0.001,0.00820964,0.230769,6
0,19,1.27069,125.887,0.001,0.0100938,0.230769,6
0,20,1.76835,228.906,0.001,0.0077252,0.230769,6
0,21,1.1568,159.827,0.001,0.00723774,0.230769,6
0,22,1.28286,168.453,0.001,0.00761551,0.230769,6
0,23,1.06091,180.962,0.001,0.00586256,0.230769,6
0,24,1.03033,133.353,0.001,0.00772623,0.230769,6
0,25,0.975319,196.802,0.001,0.00495582,0.230769,6
0,26,0.86866,109.334,0.001,0.00794494,0.230769,6
0,27,0.90678,211.142,0.001,0.00429462,0.230769,6
0,28,0.753855,91.4112,0.001,0.00824677,0.230769,6
0,29,0.850368,224.285,0.001,0.00379145,0.230769,6
0,30,0.669479,77.7046,0.001,0.00861559,0.230769,6
0,31,0.801522,236.163,0.001,0.00339392,0.230769,6
0,32,0.606058,67.0554,0.001,0.00903803,0.230769,6
0,33,0.75694,246.668,0.001,0.00306864,0.230769,6
0,34,0.557521,58.6744,0.001,0.00950178,0.230769,6
0,35,0.714461,255.732,0.001,0.00279378,0.230769,6
0,36,0.519781,52.0012,0.001,0.00999537,0.230769,6
0,37,0.67281,263.344,0.001,0.00255486,0.230769,6
0,38,0.489996,46.6284,0.001,0.0105083,0.230769,6
0,39,0.634343,51278.1,0.001,1.23708,0.230769,6
0,40,0.628612,315.353,0.001,0.00199335,0.230769,6
0,41,0.440544,37.6894,0.001,0.0116885,0.230769,6
0,42,0.582591,270.823,0.001,0.00215118,0.230769,6
0,43,0.449542,39.205,0.001,0.0114662,0.230769,6
0,44,0.522726,270.823,0.001,0.00193013,0.230769,6
0,45,0.432619,36.0433,0.001,0.0120024,0.230769,6
0,46,0.469978,270.823,0.001,0.00173537,0.230769,6
0,47,0.418439,33.393,0.001,0.0125304,0.230769,6
0,48,0.427419,270.823,0.001,0.00157822,0.230769,6
0,49,0.407219,31.35,0.001,0.012989,0.230769,6
