try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,446.595,15652.2,0.001,0.0285325,140.04,37
0,1,188.673,4376.79,0.001,0.0431077,20.04,7
0,2,65.4888,1943.9,0.001,0.0336893,20.04,7
0,3,22.2425,753.351,0.001,0.0295247,20.04,7
0,4,14.8327,170.854,0.001,0.0868144,8.04,4
0,5,18.872,175.938,0.001,0.107264,8.04,4
0,6,8.27273,163.301,0.001,0.050659,8.04,4
0,7,9.17573,204.471,0.001,0.0448753,8.04,4
0,8,7.43935,128.038,0.001,0.0581023,8.04,4
0,9,11.4054,215.547,0.001,0.0529137,8.04,4
0,10,7.43516,128.038,0.001,0.0580696,8.0,2
0,11,11.3958,215.572,0.001,0.052863,8.0,2
0,12,7.43098,128.038,0.001,0.0580371,8.0,2
0,13,11.3862,215.596,0.001,0.0528126,8.0,2
0,14,7.42682,128.037,0.001,0.0580046,8.0,2
0,15,11.3767,215.62,0.001,0.0527624,8.0,2
0,16,7.42268,128.037,0.001,0.0579723,8.0,2
0,17,11.3673,215.643,0.001,0.0527131,8.0,2
0,18,7.4187,128.036,0.001,0.057942,8.0,2
0,19,11.3583,215.665,0.001,0.052666,8.0,2
0,20,7.41476,128.036,0.001,0.0579113,8.0,2
0,21,11.3493,215.688,0.001,0.0526187,8.0,2
0,22,7.41084,128.035,0.001,0.0578807,8.0,2
0,23,11.3403,215.71,0.001,0.0525715,8.0,2
0,24,7.40698,128.034,0.001,0.0578513,8.0,2
0,25,11.3316,215.73,0.001,0.0525266,8.0,2
0,26,7.40326,128.034,0.001,0.0578224,8.0,2
0,27,11.3231,215.751,0.001,0.052482,8.0,2
0,28,7.39956,128.033,0.001,0.0577935,8.0,2
0,29,11.3146,215.772,0.001,0.0524377,8.0,2
0,30,7.39588,128.033,0.001,0.0577648,8.0,2
0,31,11.3062,215.793,0.001,0.0523935,8.0,2
0,32,7.39221,128.033,0.001,0.0577362,8.0,2
0,33,11.2978,215.813,0.001,0.0523495,8.0,2
0,34,7.38855,128.033,0.001,0.0577077,8.0,2
0,35,11.2895,215.832,0.001,0.0523066,8.0,2
0,36,7.38507,128.031,0.001,0.0576812,8.0,2
0,37,11.2816,215.85,0.001,0.0522657,8.0,2
0,38,7.38162,128.031,0.001,0.0576543,8.0,2
0,39,11.2737,215.869,0.001,0.0522245,8.0,2
0,40,7.37818,128.031,0.001,0.0576276,8.0,2
0,41,11.2658,215.888,0.001,0.0521835,8.0,2
0,42,7.37476,128.031,0.001,0.0576009,8.0,2
0,43,11.258,215.905,0.001,0.0521432,8.0,2
0,44,7.37148,128.029,0.001,0.057576,8.0,2
0,45,11.2507,215.922,0.001,0.052105,8.0,2
0,46,7.36826,128.029,0.001,0.0575509,8.0,2
0,47,11.2433,215.939,0.001,0.0520667,8.0,2
0,48,7.36505,128.029,0.001,0.0575259,8.0,2
0,49,11.2359,215.956,0.001,0.0520285,8.0,2
0,50,7.36188,128.027,0.001,0.0575019,8.0,2
0,51,11.2289,215.971,0.001,0.0519922,8.0,2
0,52,7.35887,128.027,0.001,0.0574784,8.0,2
0,53,11.222,215.987,0.001,0.0519565,8.0,2
0,54,7.35588,128.027,0.001,0.0574551,8.0,2
0,55,11.2151,216.002,0.001,0.0519209,8.0,2
0,56,7.35289,128.027,0.001,0.0574318,8.0,2
0,57,11.2082,216.018,0.001,0.0518854,8.0,2
0,58,7.34999,128.026,0.001,0.0574099,8.0,2
0,59,11.2018,216.031,0.001,0.0518525,8.0,2
0,60,7.3472,128.026,0.001,0.0573881,8.0,2
0,61,11.1954,216.045,0.001,0.0518194,8.0,2
0,62,7.34443,128.024,0.001,0.0573672,8.0,2
0,63,11.1892,216.058,0.001,0.0517879,8.0,2
0,64,7.34183,128.024,0.001,0.0573469,8.0,2
0,65,11.1833,216.071,0.001,0.0517571,8.0,2
0,66,7.33923,128.024,0.001,0.0573266,8.0,2
0,67,11.1773,216.084,0.001,0.0517263,8.0,2
0,68,7.33664,128.024,0.001,0.0573064,8.0,2
0,69,11.1713,216.098,0.001,0.0516956,8.0,2
0,70,7.33405,128.024,0.001,0.0572862,8.0,2
0,71,11.1654,216.111,0.001,0.051665,8.0,2
0,72,7.33147,128.024,0.001,0.0572661,8.0,2
0,73,11.1595,216.124,0.001,0.0516345,8.0,2
0,74,7.32891,128.024,0.001,0.0572461,8.0,2
0,75,11.1536,216.137,0.001,0.0516042,8.0,2
0,76,7.32635,128.023,0.001,0.0572262,8.0,2
0,77,11.1478,216.148,0.001,0.0515745,8.0,2
0,78,7.32392,128.022,0.001,0.0572079,8.0,2
0,79,11.1424,216.159,0.001,0.0515468,8.0,2
0,80,7.32155,128.022,0.001,0.0571895,8.0,2
0,81,11.1369,216.171,0.001,0.0515189,8.0,2
0,82,7.3192,128.022,0.001,0.0571711,8.0,2
0,83,11.1315,216.183,0.001,0.0514911,8.0,2
0,84,7.31685,128.022,0.001,0.0571528,8.0,2
0,85,11.1262,216.194,0.001,0.0514635,8.0,2
0,86,7.31451,128.021,0.001,0.0571346,8.0,2
0,87,11.1208,216.206,0.001,0.051436,8.0,2
0,88,7.31219,128.021,0.001,0.0571165,8.0,2
0,89,11.1155,216.217,0.001,0.0514086,8.0,2
0,90,7.30994,128.02,0.001,0.0570997,8.0,2
0,91,11.1105,216.226,0.001,0.0513836,8.0,2
0,92,7.30781,128.02,0.001,0.0570831,8.0,2
0,93,11.1056,216.236,0.001,0.0513586,8.0,2
0,94,7.30569,128.019,0.001,0.0570666,8.0,2
0,95,11.1008,216.246,0.001,0.0513337,8.0,2
0,96,7.30358,128.019,0.001,0.0570502,8.0,2
0,97,11.0959,216.256,0.001,0.051309,8.0,2
0,98,7.30149,128.019,0.001,0.0570339,8.0,2
0,99,11.0911,216.266,0.001,0.0512845,8.0,2
1,0,217.835,9750.32,0.001,0.0223413,8.08,6
1,1,89.2019,3528.89,0.001,0.0252776,8.08,6
1,2,24.3517,2015.81,0.001,0.0120804,8.08,6
1,3,11.3989,445.665,0.001,0.0255773,8.08,6
1,4,7.5127,26.8919,0.001,0.279356,8.08,6
