try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,173.018,5161.33,0.001,0.0335219,68.0,17
0,1,78.2253,1652.97,0.001,0.0473242,28.0,7
0,2,25.5996,658.943,0.001,0.0388494,24.0,6
0,3,7.12365,318.177,0.001,0.0223889,24.0,6
0,4,3.95423,56.0333,0.001,0.0705679,24.0,6
0,5,7.791,17602.5,0.001,0.000442609,24.0,6
0,6,5.30031,2050.2,0.001,0.00258527,24.0,6
0,7,2.17975,15.406,0.001,0.141478,24.0,6
0,8,14.7851,17750.7,0.001,0.000832929,24.0,6
0,9,7.50799,2390.49,0.001,0.00314077,24.0,6
0,10,2.31016,307.875,0.001,0.00750354,24.0,6
0,11,2.7175,131.481,0.001,0.0206683,24.0,6
0,12,4.26621,2365.99,0.001,0.00180314,24.0,6
0,13,2.54164,121.881,0.001,0.0208533,24.0,6
0,14,3.12348,912.992,0.001,0.00342115,48.0,12
0,15,2.84922,133.568,0.001,0.0213314,48.0,12
0,16,3.44858,5515.3,0.001,0.000625275,48.0,12
0,17,2.49629,117.176,0.001,0.0213035,48.0,12
0,18,3.05101,2392.35,0.001,0.00127532,24.0,6
0,19,2.74645,64.2311,0.001,0.0427581,24.0,6
0,20,2.79515,17876.8,0.001,0.000156356,24.0,6
0,21,1.53611,56.9617,0.001,0.0269669,24.0,6
0,22,2.09466,87.4441,0.001,0.023954,24.0,6
0,23,6.58686,6285.06,0.001,0.00104802,24.0,6
0,24,2.45747,350.625,0.001,0.00700882,24.0,6
0,25,2.41736,68.2965,0.001,0.0353946,24.0,6
0,26,1.66,233.188,0.001,0.00711869,24.0,6
0,27,2.64599,2877.05,0.001,0.000919685,24.0,6
0,28,2.31398,125.269,0.001,0.0184719,24.0,6
0,29,2.7978,3242.86,0.001,0.000862756,24.0,6
0,30,2.26681,111.417,0.001,0.0203451,24.0,6
0,31,2.67119,337.149,0.001,0.00792285,24.0,6
0,32,2.51754,130.82,0.001,0.0192441,24.0,6
