try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,240.064,7537.01,0.001,0.0318513,48.1538,16
0,1,98.5053,2185.78,0.001,0.0450665,4.15385,5
0,2,23.4616,1071.27,0.001,0.0219007,4.15385,5
0,3,9.91136,423.568,0.001,0.0233996,4.15385,5
0,4,3.99037,126.97,0.001,0.0314275,4.15385,5
0,5,4.06066,112.86,0.001,0.0359793,8.15385,6
0,6,2.5548,47.7244,0.001,0.0535312,8.15385,6
0,7,2.64708,851.29,0.001,0.00310949,8.15385,6
0,8,2.31246,57.1193,0.001,0.040484,8.15385,6
0,9,2.48826,870.014,0.001,0.00286002,8.15385,6
0,10,2.22865,54.5497,0.001,0.0408545,8.15385,6
0,11,2.29133,537.527,0.001,0.00426271,8.15385,6
0,12,2.35742,55.3874,0.001,0.0425616,8.15385,6
0,13,2.12207,532.043,0.001,0.00398853,4.15385,5
0,14,2.31388,54.7528,0.001,0.0422596,4.15385,5
0,15,2.11407,167.01,0.001,0.0126583,8.15385,6
0,16,2.59759,59.4423,0.001,0.0436985,8.15385,6
0,17,2.85375,859.578,0.001,0.00331994,8.15385,6
0,18,2.27304,55.8025,0.001,0.0407328,8.15385,6
0,19,2.50726,873.834,0.001,0.00286926,8.15385,6
0,20,2.2075,54.2666,0.001,0.0406781,8.07692,4
0,21,2.13659,286.721,0.001,0.00745178,4.07692,3
0,22,2.31241,56.1485,0.001,0.041183,4.07692,3
0,23,2.1065,39.065,0.001,0.0539214,8.07692,4
0,24,2.4565,220.321,0.001,0.0111496,8.07692,4
0,25,2.90231,64.7506,0.001,0.0448222,8.07692,4
0,26,2.26337,62.9601,0.001,0.0359487,8.0,2
0,27,4.11786,69.755,0.001,0.0590324,8.0,2
0,28,2.09078,72.8417,0.001,0.0287027,4.0,1
0,29,3.5487,66.9842,0.001,0.0529774,4.0,1
0,30,1.94913,36.7981,0.001,0.0529666,8.0,2
0,31,2.5262,218.489,0.001,0.0115621,8.0,2
0,32,2.87831,65.6844,0.001,0.0438197,8.0,2
0,33,2.29279,62.3196,0.001,0.0367902,8.0,2
0,34,4.11259,70.5831,0.001,0.058265,8.0,2
