try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,285.421,7717.6,0.001,0.0369831,156.0,39
0,1,128.198,2644.12,0.001,0.0484839,88.0,22
0,2,51.8216,1233.83,0.001,0.0420006,80.0,20
0,3,68.6743,41178.6,0.001,0.00166772,80.0,20
0,4,25.6385,2254.28,0.001,0.0113733,24.0,6
0,5,22.9431,570.364,0.001,0.0402254,28.0,7
0,6,44.3249,28026.2,0.001,0.00158155,28.0,7
0,7,17.1545,814.872,0.001,0.0210518,84.0,21
0,8,24.4229,1485.01,0.001,0.0164462,28.0,7
0,9,22.7097,471.381,0.001,0.0481769,16.0,4
0,10,18.8118,1602.88,0.001,0.0117362,16.0,4
0,11,12.6066,462.496,0.001,0.0272578,16.0,4
0,12,25.5879,13269.0,0.001,0.00192839,16.0,4
0,13,12.2254,454.842,0.001,0.0268783,16.0,4
0,14,23.7672,11495.2,0.001,0.00206757,16.0,4
0,15,14.315,616.027,0.001,0.0232375,16.0,4
0,16,22.2595,14017.6,0.001,0.00158797,16.0,4
0,17,10.6491,809.339,0.001,0.0131578,16.0,4
0,18,12.1736,11893.0,0.001,0.00102359,16.0,4
0,19,10.5103,416.657,0.001,0.0252251,16.0,4
0,20,24.7723,32972.3,0.001,0.000751304,16.0,4
0,21,10.6547,386.216,0.001,0.0275873,52.0,13
0,22,16.3129,11978.4,0.001,0.00136186,52.0,13
0,23,13.4169,588.372,0.001,0.0228034,52.0,13
0,24,24.5829,33585.5,0.001,0.000731951,16.0,4
0,25,8.41662,2136.35,0.001,0.00393971,16.0,4
0,26,9.08959,487.728,0.001,0.0186366,16.0,4
0,27,25.3833,33876.0,0.001,0.0007493,16.0,4
0,28,11.8071,14880.7,0.001,0.000793453,16.0,4
0,29,8.07205,219.485,0.001,0.0367771,52.0,13
0,30,22.7389,13565.7,0.001,0.00167621,52.0,13
0,31,8.43939,680.86,0.001,0.0123952,52.0,13
0,32,15.4759,12045.4,0.001,0.0012848,52.0,13
0,33,12.2682,520.16,0.001,0.0235855,52.0,13
0,34,40.8288,112660.0,0.001,0.000362408,52.0,13
0,35,8.32185,21977.3,0.001,0.000378657,52.0,13
0,36,7.18748,354.849,0.001,0.020255,52.0,13
0,37,54.7388,93265.6,0.001,0.000586914,52.0,13
0,38,8.99976,9084.85,0.001,0.000990633,52.0,13
0,39,7.54892,409.521,0.001,0.0184335,52.0,13
0,40,61.1857,93807.9,0.001,0.000652244,52.0,13
0,41,9.67706,8914.35,0.001,0.00108556,52.0,13
0,42,7.64401,445.853,0.001,0.0171447,52.0,13
0,43,64.5053,94322.9,0.001,0.000683877,52.0,13
0,44,10.5699,9887.0,0.001,0.00106908,52.0,13
0,45,7.63543,459.099,0.001,0.0166313,52.0,13
0,46,65.4039,94669.4,0.001,0.000690866,52.0,13
0,47,11.8396,9810.11,0.001,0.00120688,52.0,13
0,48,7.77835,475.87,0.001,0.0163455,52.0,13
0,49,63.7967,117054.0,0.001,0.000545017,52.0,13
1,0,131.514,8080.19,0.001,0.0162761,96.0,24
1,1,71.449,16968.1,0.001,0.00421079,108.0,27
1,2,59.9623,2340.5,0.001,0.0256195,96.0,24
1,3,61.7012,94786.0,0.001,0.000650953,96.0,24
1,4,21.6184,3296.02,0.001,0.00655895,96.0,24
1,5,18.8347,1109.88,0.001,0.01697,96.0,24
1,6,16.4764,44649.2,0.001,0.000369019,96.0,24
1,7,9.68652,446.684,0.001,0.0216854,96.0,24
1,8,65.6179,100132.0,0.001,0.000655312,52.0,13
1,9,8.50789,5630.02,0.001,0.00151116,52.0,13
1,10,8.61815,495.142,0.001,0.0174054,52.0,13
1,11,65.4216,116867.0,0.001,0.000559794,52.0,13
1,12,12.9074,20587.3,0.001,0.000626961,52.0,13
1,13,7.57007,451.547,0.001,0.0167647,96.0,24
1,14,11.7288,13516.9,0.001,0.000867711,96.0,24
1,15,10.7246,555.661,0.001,0.0193005,96.0,24
1,16,55.2376,66909.1,0.001,0.000825562,96.0,24
1,17,12.7899,40732.6,0.001,0.000313996,96.0,24
1,18,8.54057,413.963,0.001,0.0206312,52.0,13
1,19,14.3547,13355.9,0.001,0.00107478,52.0,13
1,20,12.4974,496.669,0.001,0.0251624,52.0,13
1,21,28.6596,112162.0,0.001,0.00025552,52.0,13
1,22,11.4555,10068.3,0.001,0.00113779,52.0,13
1,23,7.63795,481.401,0.001,0.015866,52.0,13
1,24,57.6775,116133.0,0.001,0.000496652,52.0,13
1,25,14.333,9973.75,0.001,0.00143707,52.0,13
1,26,7.91085,540.174,0.001,0.014645,52.0,13
1,27,57.2462,115991.0,0.001,0.000493539,52.0,13
1,28,15.443,13564.3,0.001,0.0011385,52.0,13
1,29,7.64285,557.833,0.001,0.0137009,52.0,13
1,30,50.1285,93269.3,0.001,0.00053746,52.0,13
1,31,16.8558,9633.59,0.001,0.00174969,52.0,13
1,32,8.10058,533.755,0.001,0.0151765,52.0,13
1,33,47.2811,115763.0,0.001,0.00040843,52.0,13
1,34,21.3655,9900.3,0.001,0.00215807,52.0,13
1,35,8.25378,605.87,0.001,0.013623,52.0,13
1,36,36.0254,116870.0,0.001,0.000308252,52.0,13
1,37,22.1985,9924.28,0.001,0.00223678,52.0,13
1,38,8.14687,606.723,0.001,0.0134276,52.0,13
1,39,31.0931,40661.5,0.001,0.000764681,52.0,13
1,40,18.3152,9558.06,0.001,0.0019162,52.0,13
1,41,8.64981,637.617,0.001,0.0135658,52.0,13
1,42,30.9607,35258.5,0.001,0.000878104,52.0,13
1,43,18.4297,9593.55,0.001,0.00192105,52.0,13
1,44,8.71966,640.266,0.001,0.0136188,52.0,13
1,45,31.4952,27434.9,0.001,0.001148,52.0,13
1,46,17.0763,8491.84,0.001,0.0020109,52.0,13
1,47,9.24196,653.67,0.001,0.0141385,52.0,13
1,48,30.0327,26681.5,0.001,0.0011256,52.0,13
1,49,16.8691,9553.69,0.001,0.00176572,52.0,13
2,0,135.198,6988.45,0.001,0.0193459,16.1538,8
2,1,56.5405,2294.09,0.001,0.0246462,16.1538,8
2,2,20.4822,17657.1,0.001,0.00116,16.1538,8
2,3,17.2009,989.198,0.001,0.0173887,16.1538,8
2,4,23.5485,11629.4,0.001,0.00202491,16.1538,8
2,5,12.6408,649.78,0.001,0.0194539,16.1538,8
2,6,25.2089,33389.7,0.001,0.000754988,16.1538,8
2,7,9.76274,470.432,0.001,0.0207527,48.1538,16
2,8,20.552,11782.0,0.001,0.00174436,48.1538,16
2,9,13.3947,591.427,0.001,0.0226481,48.1538,16
2,10,29.6486,32654.9,0.001,0.000907938,16.1538,8
2,11,8.29355,1428.3,0.001,0.0058066,16.1538,8
2,12,10.1345,11429.2,0.001,0.00088672,16.1538,8
2,13,10.1624,586.09,0.001,0.0173393,16.1538,8
2,14,24.2862,32373.3,0.001,0.000750191,16.1538,8
2,15,10.9906,14644.6,0.001,0.000750488,16.1538,8
2,16,8.67993,336.495,0.001,0.025795,48.1538,16
2,17,14.576,12195.3,0.001,0.00119522,48.1538,16
2,18,11.7517,650.371,0.001,0.0180693,48.1538,16
2,19,31.7621,26404.7,0.001,0.00120289,48.1538,16
2,20,15.4272,8585.96,0.001,0.00179679,48.1538,16
2,21,9.12641,618.804,0.001,0.0147484,48.1538,16
2,22,30.0344,26582.0,0.001,0.00112988,48.1538,16
2,23,17.3032,8681.48,0.001,0.00199312,48.1538,16
2,24,9.16735,621.122,0.001,0.0147593,48.1538,16
2,25,30.6732,27108.5,0.001,0.0011315,48.1538,16
2,26,16.815,8633.11,0.001,0.00194773,48.1538,16
2,27,9.12696,622.561,0.001,0.0146603,48.1538,16
2,28,30.2866,28861.0,0.001,0.0010494,48.1538,16
2,29,17.3658,8665.74,0.001,0.00200396,48.1538,16
2,30,9.11283,623.13,0.001,0.0146243,48.1538,16
2,31,30.0212,27020.6,0.001,0.00111105,48.1538,16
2,32,17.085,8683.04,0.001,0.00196763,48.1538,16
2,33,9.10107,618.205,0.001,0.0147217,48.1538,16
2,34,30.6396,29866.6,0.001,0.00102588,48.1538,16
2,35,17.6459,8715.73,0.001,0.0020246,48.1538,16
2,36,9.07409,625.961,0.001,0.0144962,48.1538,16
2,37,29.8387,25940.9,0.001,0.00115026,48.1538,16
2,38,17.2484,8671.88,0.001,0.001989,48.1538,16
2,39,9.14418,624.653,0.001,0.0146388,48.1538,16
2,40,30.7166,30889.3,0.001,0.000994411,48.1538,16
2,41,17.4667,8628.32,0.001,0.00202434,48.1538,16
2,42,9.07542,630.118,0.001,0.0144027,48.1538,16
2,43,29.3967,27329.6,0.001,0.00107564,48.1538,16
2,44,17.0543,8643.1,0.001,0.00197317,48.1538,16
2,45,9.0797,624.617,0.001,0.0145364,48.1538,16
2,46,30.6824,30890.2,0.001,0.000993274,48.1538,16
2,47,17.4753,8650.07,0.001,0.00202025,48.1538,16
2,48,9.05129,626.925,0.001,0.0144376,48.1538,16
2,49,29.7002,30094.5,0.001,0.000986898,48.1538,16
3,0,139.789,6657.63,0.001,0.0209967,52.1538,17
3,1,53.6187,3303.21,0.001,0.0162323,48.1538,16
3,2,32.1496,1952.61,0.001,0.0164649,48.1538,16
3,3,25.214,11170.2,0.001,0.00225726,48.1538,16
3,4,14.5895,828.374,0.001,0.0176122,48.1538,16
3,5,35.5869,65458.2,0.001,0.000543659,48.1538,16
3,6,15.6848,11094.2,0.001,0.00141378,48.1538,16
3,7,9.42658,879.24,0.001,0.0107213,48.1538,16
3,8,18.9459,9847.19,0.001,0.00192399,48.1538,16
3,9,11.7668,616.224,0.001,0.0190949,48.1538,16
3,10,26.7911,10919.0,0.001,0.00245362,48.1538,16
3,11,7.59283,354.592,0.001,0.0214128,48.1538,16
3,12,40.2252,17720.1,0.001,0.00227003,48.1538,16
3,13,8.71746,9038.82,0.001,0.000964446,48.1538,16
3,14,7.72988,402.995,0.001,0.019181,48.1538,16
3,15,37.5717,14359.2,0.001,0.00261656,48.1538,16
3,16,7.04534,8953.6,0.001,0.000786872,48.1538,16
3,17,7.57144,422.107,0.001,0.0179372,48.1538,16
3,18,35.5337,10781.7,0.001,0.00329574,48.1538,16
3,19,7.06727,54.3344,0.001,0.130068,48.1538,16
3,20,20.9956,67918.7,0.001,0.000309129,48.1538,16
3,21,15.3591,11127.0,0.001,0.00138035,48.1538,16
3,22,6.75322,272.179,0.001,0.0248116,48.1538,16
3,23,25.7131,11935.2,0.001,0.00215439,48.1538,16
3,24,6.45398,273.657,0.001,0.0235841,48.0769,14
3,25,30.2197,11857.4,0.001,0.0025486,48.0769,14
3,26,6.4874,322.739,0.001,0.020101,48.0769,14
3,27,32.4484,11863.4,0.001,0.00273516,48.0769,14
3,28,6.56447,46.2463,0.001,0.141943,4.07692,3
3,29,7.58798,4834.38,0.001,0.00156959,4.07692,3
3,30,7.13511,284.674,0.001,0.0250641,48.0769,14
3,31,19.2423,12126.9,0.001,0.00158675,48.0769,14
3,32,7.86059,273.334,0.001,0.0287581,48.0769,14
3,33,24.384,11921.9,0.001,0.00204531,48.0769,14
3,34,6.41396,257.88,0.001,0.0248718,48.0769,14
3,35,29.4701,11899.7,0.001,0.00247653,48.0769,14
3,36,6.42616,310.908,0.001,0.0206689,48.0769,14
3,37,31.8125,11924.8,0.001,0.00266777,48.0769,14
3,38,6.47165,48.1624,0.001,0.134369,4.07692,3
3,39,7.66719,4847.58,0.001,0.00158165,4.07692,3
3,40,7.22762,311.321,0.001,0.0232159,4.07692,3
3,41,13.2802,12416.7,0.001,0.00106954,4.07692,3
3,42,6.92488,216.317,0.001,0.0320126,4.07692,3
3,43,19.0151,12565.5,0.001,0.00151328,4.07692,3
3,44,5.08473,167.383,0.001,0.0303777,4.07692,3
3,45,17.7558,13008.2,0.001,0.00136497,4.07692,3
3,46,4.87714,147.962,0.001,0.032962,4.07692,3
3,47,16.0689,13030.1,0.001,0.00123322,4.07692,3
3,48,4.74033,132.618,0.001,0.0357441,4.07692,3
3,49,14.7469,13039.2,0.001,0.00113097,4.07692,3
4,0,141.216,8182.9,0.001,0.0172575,4.23077,7
4,1,66.978,3006.57,0.001,0.0222772,4.23077,7
4,2,26.9497,12374.0,0.001,0.00217793,4.23077,7
4,3,18.4793,1298.8,0.001,0.014228,4.23077,7
4,4,14.9761,13221.8,0.001,0.00113268,4.23077,7
4,5,7.29524,393.044,0.001,0.0185609,4.23077,7
4,6,17.8978,12610.6,0.001,0.00141927,4.23077,7
4,7,5.23954,179.374,0.001,0.02921,4.23077,7
4,8,16.4549,13026.4,0.001,0.0012632,4.23077,7
4,9,4.79814,136.068,0.001,0.0352626,4.23077,7
4,10,15.0401,13038.0,0.001,0.00115356,4.23077,7
4,11,4.68993,123.605,0.001,0.0379424,4.23077,7
4,12,14.0601,13040.9,0.001,0.00107816,4.23077,7
4,13,4.62033,115.309,0.001,0.0400687,4.23077,7
4,14,13.4905,13040.5,0.001,0.00103451,4.23077,7
4,15,4.58187,110.634,0.001,0.0414145,4.23077,7
4,16,13.2081,13039.7,0.001,0.00101291,4.23077,7
4,17,4.56299,108.359,0.001,0.0421096,4.23077,7
4,18,13.0825,13039.3,0.001,0.00100331,4.23077,7
4,19,4.55416,107.357,0.001,0.0424203,4.23077,7
4,20,13.0295,13039.0,0.001,0.000999267,4.23077,7
4,21,4.54986,106.936,0.001,0.0425471,4.15385,5
4,22,13.0072,13038.9,0.001,0.000997569,4.15385,5
4,23,4.54744,106.759,0.001,0.0425949,4.15385,5
4,24,12.9975,13038.9,0.001,0.000996826,4.15385,5
4,25,4.54579,106.682,0.001,0.0426103,4.15385,5
4,26,12.9928,13038.9,0.001,0.000996464,4.15385,5
4,27,4.54445,106.644,0.001,0.0426129,4.15385,5
4,28,12.99,13038.9,0.001,0.000996253,4.15385,5
4,29,4.54322,106.622,0.001,0.0426103,4.15385,5
4,30,12.9881,13038.9,0.001,0.000996103,4.15385,5
4,31,4.54205,106.606,0.001,0.0426056,4.15385,5
4,32,12.9864,13038.9,0.001,0.000995977,4.15385,5
4,33,4.54089,106.592,0.001,0.0426002,4.15385,5
4,34,12.9849,13038.9,0.001,0.000995859,4.15385,5
4,35,4.53974,106.58,0.001,0.0425944,4.15385,5
4,36,12.9834,13038.9,0.001,0.000995746,4.15385,5
4,37,4.53859,106.568,0.001,0.0425885,4.15385,5
4,38,12.9819,13038.9,0.001,0.000995634,4.15385,5
4,39,4.53745,106.555,0.001,0.0425826,4.15385,5
4,40,12.9805,13038.9,0.001,0.000995522,4.15385,5
4,41,4.5363,106.543,0.001,0.0425766,4.07692,3
4,42,12.979,13038.9,0.001,0.00099541,4.07692,3
4,43,4.53516,106.532,0.001,0.0425706,4.07692,3
4,44,12.9776,13038.9,0.001,0.000995299,4.07692,3
4,45,4.53401,106.52,0.001,0.0425647,4.07692,3
4,46,12.9761,13038.9,0.001,0.000995188,4.07692,3
4,47,4.53287,106.508,0.001,0.0425587,4.07692,3
4,48,12.9747,13038.9,0.001,0.000995077,4.07692,3
4,49,4.53173,106.496,0.001,0.0425527,4.07692,3
