try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,200.959,7460.09,0.001,0.0269378,96.3077,32
0,1,105.987,2141.06,0.001,0.0495024,12.3077,11
0,2,35.6893,1057.86,0.001,0.0337371,12.3077,11
0,3,11.8556,518.999,0.001,0.0228432,12.3077,11
0,4,5.2829,349.303,0.001,0.0151241,12.3077,11
0,5,5.90359,320.445,0.001,0.018423,12.3077,11
0,6,5.70978,96.5398,0.001,0.0591437,12.3077,11
0,7,6.63309,962.341,0.001,0.00689265,16.3077,12
0,8,4.92036,188.943,0.001,0.0260414,16.3077,12
0,9,5.09793,346.564,0.001,0.0147099,12.3077,11
0,10,5.38432,97.0121,0.001,0.055501,16.2308,10
0,11,4.4351,65.6132,0.001,0.0675936,16.2308,10
0,12,8.58614,299.711,0.001,0.028648,12.2308,9
0,13,7.89252,151.092,0.001,0.0522361,12.2308,9
0,14,4.32076,83.0502,0.001,0.0520253,4.23077,7
0,15,6.93149,78.9315,0.001,0.0878154,4.23077,7
0,16,4.44767,426.42,0.001,0.0104302,4.23077,7
0,17,4.37606,148.041,0.001,0.0295595,4.23077,7
0,18,3.13432,16.5077,0.001,0.189859,4.23077,7
0,19,5.38995,499.244,0.001,0.0107962,4.23077,7
0,20,2.8888,74.1657,0.001,0.0389501,4.23077,7
0,21,4.18668,477.964,0.001,0.00875938,4.23077,7
0,22,2.71147,13.8237,0.001,0.196132,4.23077,7
0,23,2.18464,6.87877,0.001,0.317546,4.23077,7
0,24,4.23851,291.939,0.001,0.0145184,4.23077,7
0,25,3.02335,71.799,0.001,0.0421079,4.23077,7
0,26,4.06974,282.933,0.001,0.014384,4.23077,7
0,27,2.99542,72.8458,0.001,0.0411194,4.23077,7
0,28,3.98356,281.294,0.001,0.0141615,4.23077,7
0,29,2.90642,74.1825,0.001,0.0391788,4.23077,7
0,30,3.82043,281.601,0.001,0.0135668,4.23077,7
0,31,2.88079,10.0966,0.001,0.285295,4.23077,7
0,32,2.30997,61.8174,0.001,0.037367,4.23077,7
0,33,2.77689,22.1384,0.001,0.125427,4.23077,7
0,34,2.82178,296.973,0.001,0.00950175,4.23077,7
0,35,1.87615,13.3791,0.001,0.140219,4.15385,5
0,36,3.82534,297.718,0.001,0.0128488,4.15385,5
0,37,2.06268,23.4885,0.001,0.0878126,4.15385,5
0,38,3.64155,25.7381,0.001,0.141479,4.15385,5
0,39,3.78699,302.113,0.001,0.012535,4.15385,5
0,40,2.40995,29.1152,0.001,0.08277,4.15385,5
0,41,3.34304,29.6086,0.001,0.112904,4.15385,5
0,42,3.48875,63.479,0.001,0.0549582,4.07692,3
0,43,2.31346,35.521,0.001,0.0651274,4.0,1
0,44,3.11056,49.1103,0.001,0.0633369,4.0,1
0,45,2.63742,34.8583,0.001,0.0756589,4.0,1
0,46,3.12221,49.7899,0.001,0.0627065,4.0,1
0,47,2.60551,34.9502,0.001,0.074547,4.0,1
0,48,3.10157,49.3268,0.001,0.0628769,4.0,1
0,49,2.60378,34.9291,0.001,0.0745427,4.0,1
0,50,3.08591,49.0425,0.001,0.0629218,4.0,1
0,51,2.59729,34.9251,0.001,0.0743654,4.0,1
0,52,3.06947,48.7327,0.001,0.0629845,4.0,1
0,53,2.59147,34.9184,0.001,0.0742129,4.0,1
0,54,3.05316,48.4287,0.001,0.0630431,4.0,1
0,55,2.58552,34.9122,0.001,0.0740556,4.0,1
0,56,3.03689,48.1265,0.001,0.0631008,4.0,1
0,57,2.57956,34.9059,0.001,0.0738984,4.0,1
0,58,3.0207,47.8274,0.001,0.063157,4.0,1
0,59,2.5736,34.8996,0.001,0.0737409,4.0,1
0,60,3.00462,47.5318,0.001,0.0632116,4.0,1
